2024-06-11 19:06:29 - Dispositivo: 1, Secuencia: 80, Aforo: 1
2024-06-11 19:06:32 - Dispositivo: 1, Secuencia: 81, Aforo: 0
2024-06-11 19:06:34 - Dispositivo: 1, Secuencia: 82, Aforo: 1
2024-06-11 19:06:37 - Dispositivo: 1, Secuencia: 83, Aforo: 0
2024-06-11 19:06:54 - Dispositivo: 1, Secuencia: 84, Aforo: 1
2024-06-11 19:06:56 - Dispositivo: 1, Secuencia: 85, Aforo: 0
2024-06-11 19:06:58 - Dispositivo: 1, Secuencia: 86, Aforo: 1
2024-06-11 19:07:01 - Dispositivo: 1, Secuencia: 87, Aforo: 0
2024-06-11 19:07:03 - Dispositivo: 1, Secuencia: 88, Aforo: 1
2024-06-11 19:07:06 - Dispositivo: 1, Secuencia: 89, Aforo: 0
2024-06-11 19:07:09 - Dispositivo: 1, Secuencia: 90, Aforo: 1
2024-06-11 19:07:11 - Dispositivo: 1, Secuencia: 91, Aforo: 0
2024-06-11 19:07:13 - Dispositivo: 1, Secuencia: 92, Aforo: 1
2024-06-11 19:07:16 - Dispositivo: 1, Secuencia: 93, Aforo: 0
2024-06-11 19:07:18 - Dispositivo: 1, Secuencia: 94, Aforo: 1
2024-06-11 19:07:21 - Dispositivo: 1, Secuencia: 95, Aforo: 0
2024-06-11 19:07:24 - Dispositivo: 1, Secuencia: 96, Aforo: 1
2024-06-11 19:07:26 - Dispositivo: 1, Secuencia: 97, Aforo: 0
2024-06-11 19:07:29 - Dispositivo: 1, Secuencia: 98, Aforo: 1
2024-06-11 19:07:31 - Dispositivo: 1, Secuencia: 99, Aforo: 0
2024-06-11 19:07:34 - Dispositivo: 1, Secuencia: 100, Aforo: 1
2024-06-11 19:07:36 - Dispositivo: 1, Secuencia: 101, Aforo: 0
2024-06-11 19:07:39 - Dispositivo: 1, Secuencia: 102, Aforo: 1
2024-06-11 19:07:41 - Dispositivo: 1, Secuencia: 103, Aforo: 0
2024-06-11 19:08:03 - Dispositivo: 1, Secuencia: 104, Aforo: 0
2024-06-11 19:08:27 - Dispositivo: 1, Secuencia: 105, Aforo: 1
2024-06-11 19:08:27 - Dispositivo: 1, Secuencia: 106, Aforo: 0
2024-06-11 19:08:50 - Dispositivo: 1, Secuencia: 107, Aforo: 0
2024-06-11 19:08:58 - Dispositivo: 1, Secuencia: 108, Aforo: 1
2024-06-11 19:09:01 - Dispositivo: 1, Secuencia: 109, Aforo: 0
2024-06-11 19:09:24 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:09:40 - Dispositivo: 1, Secuencia: 3, Aforo: 0
2024-06-11 19:09:43 - Dispositivo: 1, Secuencia: 4, Aforo: 1
2024-06-11 19:09:46 - Dispositivo: 1, Secuencia: 5, Aforo: 0
2024-06-11 19:09:49 - Dispositivo: 1, Secuencia: 6, Aforo: 0
2024-06-11 19:10:20 - Dispositivo: 1, Secuencia: 8, Aforo: 0
2024-06-11 19:10:28 - Dispositivo: 1, Secuencia: 9, Aforo: 0
2024-06-11 19:10:48 - Dispositivo: 1, Secuencia: 2, Aforo: 0
2024-06-11 19:12:19 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:12:22 - Dispositivo: 1, Secuencia: 3, Aforo: 2
2024-06-11 19:12:29 - Dispositivo: 1, Secuencia: 4, Aforo: 1
2024-06-11 19:12:45 - Dispositivo: 1, Secuencia: 5, Aforo: 0
2024-06-11 19:13:03 - Dispositivo: 1, Secuencia: 2, Aforo: 0
2024-06-11 19:13:15 - Dispositivo: 1, Secuencia: 3, Aforo: 1
2024-06-11 19:13:19 - Dispositivo: 1, Secuencia: 4, Aforo: 0
2024-06-11 19:13:22 - Dispositivo: 1, Secuencia: 5, Aforo: 1
2024-06-11 19:13:26 - Dispositivo: 1, Secuencia: 6, Aforo: 0
2024-06-11 19:13:29 - Dispositivo: 1, Secuencia: 7, Aforo: 1
2024-06-11 19:13:34 - Dispositivo: 1, Secuencia: 8, Aforo: 0
2024-06-11 19:13:37 - Dispositivo: 1, Secuencia: 9, Aforo: 1
2024-06-11 19:13:43 - Dispositivo: 1, Secuencia: 10, Aforo: 0
2024-06-11 19:13:44 - Dispositivo: 1, Secuencia: 11, Aforo: 1
2024-06-11 19:13:47 - Dispositivo: 1, Secuencia: 12, Aforo: 0
2024-06-11 19:13:50 - Dispositivo: 1, Secuencia: 13, Aforo: 1
2024-06-11 19:13:54 - Dispositivo: 1, Secuencia: 14, Aforo: 0
2024-06-11 19:13:57 - Dispositivo: 1, Secuencia: 15, Aforo: 1
2024-06-11 19:14:00 - Dispositivo: 1, Secuencia: 16, Aforo: 0
2024-06-11 19:14:03 - Dispositivo: 1, Secuencia: 17, Aforo: 1
2024-06-11 19:14:07 - Dispositivo: 1, Secuencia: 18, Aforo: 0
2024-06-11 19:14:10 - Dispositivo: 1, Secuencia: 19, Aforo: 0
2024-06-11 19:14:17 - Dispositivo: 1, Secuencia: 20, Aforo: 0
2024-06-11 19:14:24 - Dispositivo: 1, Secuencia: 21, Aforo: 1
2024-06-11 19:14:27 - Dispositivo: 1, Secuencia: 22, Aforo: 0
2024-06-11 19:14:31 - Dispositivo: 1, Secuencia: 23, Aforo: 0
2024-06-11 19:15:31 - Dispositivo: 1, Secuencia: 24, Aforo: 0
2024-06-11 19:15:57 - Dispositivo: 1, Secuencia: 25, Aforo: 1
2024-06-11 19:16:19 - Dispositivo: 1, Secuencia: 26, Aforo: 0
2024-06-11 19:16:22 - Dispositivo: 1, Secuencia: 27, Aforo: 1
2024-06-11 19:16:26 - Dispositivo: 1, Secuencia: 28, Aforo: 0
2024-06-11 19:17:00 - Dispositivo: 1, Secuencia: 29, Aforo: 0
2024-06-11 19:17:13 - Dispositivo: 1, Secuencia: 30, Aforo: 1
2024-06-11 19:17:17 - Dispositivo: 1, Secuencia: 31, Aforo: 0
2024-06-11 19:17:20 - Dispositivo: 1, Secuencia: 32, Aforo: 0
